117 117
0 116 276
116 115 5
115 114 6
114 113 5
113 112 5
112 111 6
111 110 7
110 109 6
109 108 6
108 107 6
107 106 6
106 105 6
105 104 5
104 103 4
103 102 5
102 101 4
101 100 4
100 99 4
99 98 4
98 97 8
97 96 4
96 95 4
95 94 4
94 93 2
93 92 3
92 91 3
91 90 2
90 89 2
89 88 3
88 87 2
87 86 2
86 85 1
85 84 1
84 83 2
83 82 1
82 81 1
81 80 1
80 79 1
79 78 3
78 77 2
77 76 2
76 74 1
74 73 0
73 75 0
75 72 1
72 71 1
71 70 3
70 69 3
69 68 4
68 67 4
67 66 4
66 65 3
65 64 2
64 63 4
63 62 4
62 61 5
61 60 4
60 59 4
59 58 4
58 57 5
57 56 6
56 55 6
55 54 5
54 53 5
53 52 5
52 51 6
51 50 7
50 49 6
49 48 6
48 47 7
47 46 6
46 45 6
45 44 5
44 43 6
43 42 5
42 41 4
41 40 3
40 39 4
39 38 5
38 37 4
37 36 3
36 35 3
35 34 1
34 33 2
33 32 1
32 31 1
31 30 2
30 29 2
29 28 1
28 27 2
27 26 3
26 25 4
25 24 4
24 23 4
23 22 5
22 21 4
21 20 5
20 19 4
19 18 4
18 17 3
17 16 2
16 15 3
15 14 3
14 13 3
13 12 2
12 11 3
11 10 3
10 9 2
9 8 2
8 6 1
6 7 0
7 5 1
5 4 1
4 3 1
3 2 2
2 1 3
1 0 4
